               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,             0.03303,            0.045149,           0.0016707,             0.98827,             0.99315,             0.99355,             0.73757,             0.02888,            0.050562,          0.00092334,            0.002476,            0.002476,            0.002476
                  78,            0.032986,            0.050567,           0.0017029,              0.9873,             0.99322,             0.99322,             0.72395,            0.029223,            0.050829,          0.00089315,            0.002377,            0.002377,            0.002377
                  79,            0.032435,            0.050785,           0.0016416,             0.98631,             0.99417,             0.99349,             0.74324,            0.028791,            0.050792,          0.00086326,            0.002278,            0.002278,            0.002278
                  80,            0.032328,            0.049449,            0.001679,             0.98689,             0.99447,             0.99348,             0.73955,            0.028764,            0.050502,          0.00083817,            0.002179,            0.002179,            0.002179
                  81,            0.031305,            0.047271,           0.0015913,             0.98665,              0.9954,             0.99335,             0.74255,            0.028735,            0.050391,          0.00081462,             0.00208,             0.00208,             0.00208
                  82,            0.031025,             0.04457,           0.0025872,             0.98691,             0.99581,             0.99335,             0.73319,            0.028976,            0.050383,          0.00078753,            0.001981,            0.001981,            0.001981
                  83,            0.031861,            0.045442,           0.0015255,             0.98691,             0.99579,             0.99332,             0.74572,            0.028275,            0.050111,          0.00077806,            0.001882,            0.001882,            0.001882
                  84,            0.032371,            0.050987,           0.0016488,             0.98843,             0.99655,             0.99353,             0.74278,            0.028321,            0.050107,          0.00075804,            0.001783,            0.001783,            0.001783
                  85,            0.030729,            0.050286,           0.0017829,             0.98867,              0.9964,             0.99356,             0.73647,            0.028763,            0.050162,           0.0007467,            0.001684,            0.001684,            0.001684
                  86,            0.031088,            0.049178,           0.0015209,              0.9888,             0.99629,             0.99364,             0.72952,            0.028432,             0.05007,          0.00073374,            0.001585,            0.001585,            0.001585
                  87,            0.031282,            0.048386,           0.0014522,             0.98871,              0.9954,             0.99364,               0.741,            0.028124,            0.049808,          0.00072942,            0.001486,            0.001486,            0.001486
                  88,            0.030353,            0.051286,            0.001623,             0.98961,             0.99555,             0.99365,             0.74112,            0.027968,            0.049727,          0.00071653,            0.001387,            0.001387,            0.001387
                  89,            0.030602,            0.049869,           0.0014203,             0.98884,             0.99579,             0.99363,             0.74799,            0.027912,            0.049707,          0.00070926,            0.001288,            0.001288,            0.001288
                  90,            0.029967,            0.045769,           0.0012851,             0.98849,             0.99602,             0.99358,             0.74555,            0.028003,            0.049573,          0.00070055,            0.001189,            0.001189,            0.001189
                  91,            0.030779,            0.053183,           0.0013957,             0.98868,             0.99617,             0.99367,             0.75252,            0.027914,             0.04964,          0.00068015,             0.00109,             0.00109,             0.00109
                  92,            0.031469,            0.053385,           0.0013528,             0.98884,             0.99617,             0.99364,             0.74546,            0.028015,            0.049582,          0.00066936,            0.000991,            0.000991,            0.000991
                  93,             0.03085,            0.048591,           0.0016761,             0.98896,             0.99579,             0.99361,             0.75341,            0.027832,            0.049463,          0.00065984,            0.000892,            0.000892,            0.000892
                  94,              0.0306,            0.046026,           0.0010714,             0.98821,             0.99571,             0.99346,             0.74876,            0.027901,            0.049507,          0.00065058,            0.000793,            0.000793,            0.000793
                  95,            0.029916,            0.047199,           0.0012169,             0.98824,             0.99579,             0.99347,             0.75883,             0.02768,            0.049495,          0.00063599,            0.000694,            0.000694,            0.000694
                  96,            0.030298,            0.046014,           0.0013365,             0.98803,             0.99483,             0.99345,             0.75351,            0.027682,            0.049463,          0.00063014,            0.000595,            0.000595,            0.000595
                  97,            0.030436,            0.048456,           0.0013698,              0.9884,             0.99549,             0.99356,             0.75505,            0.027733,            0.049486,          0.00062446,            0.000496,            0.000496,            0.000496
                  98,            0.030443,            0.045251,           0.0011632,             0.98862,             0.99502,             0.99357,             0.75611,            0.027737,            0.049518,          0.00062229,            0.000397,            0.000397,            0.000397
                  99,              0.0304,            0.047684,            0.001328,             0.98913,              0.9954,             0.99364,             0.75902,            0.027581,            0.049396,          0.00061162,            0.000298,            0.000298,            0.000298
